1332 JT,63335.08300000001
1333 JT,166425.58999999985
1334 JT,-992.1769999999997
1605 JT,-11372.98900000006
1721 JT,48954.390000000014
1801 JT,345095.7649999999
1802 JT,33747.16700000013
1803 JT,32416.675000000047
1808 JT,182703.43900000007
1812 JT,170122.87199999997
1925 JT,508040.50099999993
1928 JT,309619.3550000002
1963 JT,-105757.71400000027
2002 JT,-35058.29999999999
2269 JT,-168845.2910000002
2282 JT,570065.4670000001
2413 JT,226444.271
2432 JT,237488.2670000001
2501 JT,104504.53199999989
2502 JT,40133.020000000135
2503 JT,150815.83900000015
2531 JT,261139.98199999996
2768 JT,49347.89600000001
2801 JT,651510.668
2802 JT,113684.0830000001
2871 JT,24414.592999999877
2914 JT,-256881.2979999995
3086 JT,4619.0079999999725
3099 JT,-97616.05599999987
3101 JT,59660.41399999964
3103 JT,-22460.0
3105 JT,24601.51200000003
3110 JT,17795.04899999997
3289 JT,52481.20200000005
3382 JT,216339.36999999988
3401 JT,140986.376
3402 JT,22942.217000000033
3405 JT,53528.49799999985
3407 JT,86128.57200000004
3436 JT,501561.59699999995
3659 JT,-776.9150000000081
3861 JT,79557.20500000002
3863 JT,-16059.06699999998
3864 JT,2425.3750000000073
3865 JT,7474.076000000001
3893 JT,4976.042000000001
4004 JT,296076.81700000016
4005 JT,44265.21400000001
4021 JT,-269083.44000000035
4041 JT,-67887.65399999992
4042 JT,391115.67299999995
4043 JT,726312.5469999997
4061 JT,646854.296
4063 JT,4408347.597
4151 JT,361531.712
4183 JT,535070.8060000001
4188 JT,146130.40999999992
4208 JT,463535.71900000004
4272 JT,-48717.35999999981
4324 JT,179892.6810000001
4452 JT,437995.8859999997
4502 JT,174345.07799999928
4503 JT,156865.44500000007
4506 JT,270075.3060000001
4507 JT,151084.9049999998
4519 JT,210067.56700000004
4523 JT,830773.0530000003
4543 JT,152959.108
4568 JT,189711.303
4578 JT,211898.0279999997
4631 JT,49414.86700000003
4689 JT,65492.556000000026
4704 JT,424602.716
4751 JT,824638.4049999999
4755 JT,228694.5370000002
4901 JT,748336.7660000001
4902 JT,-38230.13100000005
4911 JT,766900.977
5002 JT,134477.41900000005
5019 JT,88954.14999999997
5020 JT,89287.005
5101 JT,79063.85300000024
5108 JT,563809.3390000002
5201 JT,849594.5950000002
5202 JT,-156419.25899999996
5214 JT,236489.39199999988
5232 JT,256727.47100000014
5233 JT,-18703.153999999864
5301 JT,561138.987
5332 JT,2181198.1380000007
5333 JT,130425.96100000024
5401 JT,-36027.83000000031
5406 JT,-80090.41000000003
5411 JT,-88041.39600000007
5413 JT,43424.86100000003
5541 JT,-118549.55899999966
5631 JT,444473.88499999954
5703 JT,195947.85699999996
5706 JT,690592.5729999994
5707 JT,-387942.0310000002
5711 JT,26389.707999999635
5713 JT,1297986.578
5714 JT,709457.5769999998
5715 JT,-8775.492999999842
5801 JT,297412.4409999999
5802 JT,136552.23399999994
5803 JT,52647.67000000007
5901 JT,-271.9660000000149
6098 JT,199138.99300000007
6103 JT,1116340.5229999998
6113 JT,117086.29200000002
6178 JT,55375.53899999999
6301 JT,862595.6160000004
6302 JT,191243.87399999995
6305 JT,747947.8720000001
6326 JT,452478.3290000001
6361 JT,850682.956
6366 JT,-262857.15199999994
6367 JT,3528693.5650000004
6471 JT,129168.04199999996
6472 JT,21393.696999999956
6473 JT,-5760.592000000062
6479 JT,337394.164
6501 JT,1157801.2129999998
6502 JT,-232756.20500000054
6503 JT,194598.19399999984
6504 JT,388970.88100000005
6506 JT,477098.554
6508 JT,105334.72600000002
6645 JT,189200.555
6674 JT,436300.58400000015
6701 JT,962123.4610000001
6702 JT,3091559.9369999995
6703 JT,-55562.62199999986
6724 JT,203240.58300000004
6752 JT,285233.61699999997
6753 JT,-100393.61400000006
6758 JT,1910923.4019999998
6762 JT,-314963.6860000002
6767 JT,19368.17300000001
6770 JT,-250334.96799999976
6773 JT,-40110.0
6841 JT,311900.353
6857 JT,2272418.499
6902 JT,2290585.4460000005
6952 JT,389135.5739999997
6954 JT,3117610.0140000023
6971 JT,1109769.4619999994
6976 JT,1641197.1199999996
6988 JT,1204294.719
7003 JT,-251805.961
7004 JT,205059.615
7011 JT,-83779.74200000009
7012 JT,-145409.17999999924
7013 JT,-532632.6910000001
7186 JT,26104.662999999957
7201 JT,-48511.45599999995
7202 JT,50889.677999999956
7203 JT,1453549.3779999996
7205 JT,24580.545999999857
7211 JT,-132947.912
7261 JT,-220116.73600000015
